AppID,Publisher
730,1
570,1
578080,2
1172710,3
3419430,4
238960,5
252490,6
359550,7
2622380,8
2622380,9
2923300,10
271590,11
2767030,12
1172470,13
1086940,14
3489700,15
1938090,16
236390,17
2669320,13
431960,18
2252570,19
553850,20
221100,21
2507950,22
413150,23
1366800,24
381210,25
440,1
394360,26
3240220,11
3241660,27
230410,28
322170,29
1245620,8
1245620,9
346110,30
346110,31
1174180,11
1222670,13
1903340,32
438100,33
227300,34
526870,35
1091500,36
294100,37
2300320,38
289070,39
289070,40
289070,41
108600,42
489830,43
4000,1
3188910,44
105600,45
251570,46
1281930,45
1281930,47
550,1
2139460,48
1142710,19
1142710,49
1085660,50
3164500,51
427520,52
892970,35
1671210,53
2357570,54
292030,36
261550,55
2073850,56
2399830,30
2399830,31
322330,57
252950,58
284160,59
629520,60
218620,61
813780,62
1158310,26
39210,63
250900,64
2694490,5
236850,26
1551360,62
3513350,65
1623730,66
2878980,39
281990,26
306130,43
2379780,67
8930,39
8930,40
8930,41
2429640,68
1203220,69
1449850,70
275850,71
1203620,72
377160,43
739630,73
291550,7
582660,74
393380,75
107410,21
1874880,21
1905180,76
1665460,70
2707930,77
240,1
1599340,68
3527290,78
3527290,79
2138720,80
2138720,32
513710,81
1237950,13
1604270,82
2584990,83
594650,84
2873440,85
529340,26
960090,86
3350200,87
1771300,88
1326470,89
3061570,19
1361210,90
2183900,91
3224770,83
1850570,92
2452280,93
2246340,94
2344520,54
1818450,95
242760,96
1244460,97
2358720,98
1144200,99
1973530,100
3024040,101
244210,102
